land_type_code,dryness_index,ndvi_p90,ndvi_p50,ndvi_p10,swir_b12,swir_b11,avg_frp,max_frp,activity_ratio,frp_trend,frp_early_avg,frp_early_max,frp_early_trend,persistence_days,dist_refinery_km,dist_power_km,dist_steel_km,dist_mining_km,dist_flare_km,dist_oilgas_km,nearest_industrial_code,persistence_class,persistence_days,behavior_class,behavior_cat,firetype_class,firetype_cat,lat,lon
60,0.586,0.04,0.032,0.024,-1,-1,3.49,3.49,0.1,0,3.49,3.49,0,1,100,100,100,100,100,100,-1,0,1,4,other,1,agricultural_burn,36.82,93.29
60,0.59,0.04,0.032,0.016,-1,-1,3.65,3.65,0.1,0,3.65,3.65,0,1,100,100,100,100,100,100,-1,0,1,4,other,1,agricultural_burn,36.83,93.29
10,0.367,0.824,0.68,0.536,0.216,0.116,4.89,4.89,0.1,0,4.89,4.89,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,6.32,81.29
10,0.54,0.768,0.608,0.416,0.272,0.16,58.22,58.22,0.1,0,58.22,58.22,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,6.34,81.03
40,0.386,0.8,0.592,0.408,0.184,0.1,3.05,3.05,0.1,0,3.05,3.05,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,6.35,80.95
30,-1,-1,-1,-1,-1,-1,3.97,3.97,0.1,0,3.97,3.97,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,6.56,81.01
40,0.384,0.8,0.712,0.544,0.228,0.12,4.98,4.98,0.1,0,4.98,4.98,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,6.7,81.32
10,0.511,0.72,0.584,0.44,0.264,0.156,2.87,2.87,0.1,0,2.87,2.87,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,6.71,81.5
40,0.444,0.8,0.584,0.36,0.2,0.108,7.27,7.27,0.1,0,7.27,7.27,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,6.74,81.29
40,0.485,0.76,0.648,0.4,0.236,0.132,2.55,2.55,0.1,0,2.55,2.55,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,6.75,81.39
10,0.406,0.768,0.688,0.52,0.232,0.124,7.54,7.54,0.1,0,7.54,7.54,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,6.76,81.36
30,0.49,0.744,0.48,0.32,0.212,0.128,5.82,5.82,0.1,0,5.82,5.82,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,6.84,81.79
30,0.49,0.776,0.608,0.344,0.22,0.12,4.81,4.81,0.1,0,4.81,4.81,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,6.86,81.74
40,0.466,0.752,0.56,0.36,0.212,0.124,5.94,5.94,0.1,0,5.94,5.94,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,6.87,81.73
10,0.262,0.824,0.768,0.664,0.2,0.104,4.48,4.48,0.1,0,4.48,4.48,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,6.89,81.06
30,0.497,0.728,0.632,0.392,0.24,0.132,7.29,7.29,0.1,0,7.29,7.29,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,6.97,81.6
30,0.264,0.792,0.744,0.624,0.188,0.096,4.4,4.4,0.1,0,4.4,4.4,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,7.01,81.19
30,0.715,0.728,0.424,0.208,0.3,0.188,4.88,4.88,0.1,0,4.88,4.88,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,7.04,81.79
40,0.257,0.84,0.784,0.648,0.192,0.092,5.9,5.9,0.1,0,5.9,5.9,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.08,81.52
40,0.456,0.792,0.608,0.376,0.212,0.116,4.74,4.74,0.1,0,4.74,4.74,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.12,81.67
10,0.293,0.824,0.744,0.6,0.196,0.096,12.85,12.85,0.1,0,12.85,12.85,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.15,81.14
10,0.506,0.736,0.6,0.328,0.224,0.124,4.81,4.81,0.1,0,4.81,4.81,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.23,81.72
10,0.49,0.752,0.632,0.368,0.228,0.128,1.66,1.66,0.1,0,1.66,1.66,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.27,81.67
10,0.334,0.816,0.72,0.592,0.216,0.112,2.86,2.86,0.1,0,2.86,2.86,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.27,81.2
10,0.362,0.784,0.704,0.568,0.224,0.12,2.73,2.73,0.1,0,2.73,2.73,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.28,81.2
30,0.559,0.768,0.328,0.12,0.184,0.108,8.94,8.94,0.1,0,8.94,8.94,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,7.29,81.79
40,0.569,0.768,0.288,0.08,0.176,0.116,3.09,3.09,0.1,0,3.09,3.09,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.3,81.81
40,0.569,0.768,0.272,0.104,0.184,0.124,2.98,2.98,0.1,0,2.98,2.98,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.3,81.82
30,0.432,0.768,0.648,0.464,0.228,0.132,9,9,0.1,0,9,9,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,7.3,81.11
10,0.406,0.784,0.672,0.496,0.224,0.124,5.35,5.35,0.1,0,5.35,5.35,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.3,81.12
40,0.54,0.752,0.272,0.104,0.168,0.108,6.88,6.88,0.1,0,6.88,6.88,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.3,81.78
30,0.408,0.784,0.672,0.504,0.228,0.128,2.59,2.59,0.1,0,2.59,2.59,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,7.31,81.12
40,0.557,0.8,0.272,0.088,0.172,0.116,3.08,3.08,0.1,0,3.08,3.08,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.31,81.83
40,0.545,0.76,0.256,0.072,0.16,0.1,3.22,3.22,0.1,0,3.22,3.22,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.31,81.78
40,0.586,0.8,0.24,0.088,0.188,0.124,2.93,2.93,0.1,0,2.93,2.93,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.31,81.85
40,0.545,0.76,0.232,0.072,0.16,0.1,2.83,2.83,0.1,0,2.83,2.83,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.33,81.82
40,0.509,0.784,0.232,0.072,0.14,0.08,4.59,4.59,0.1,0,4.59,4.59,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.34,81.83
40,0.514,0.776,0.232,0.088,0.148,0.088,5.93,5.93,0.1,0,5.93,5.93,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.35,81.83
30,0.266,0.832,0.76,0.68,0.208,0.1,8.97,8.97,0.1,0,8.97,8.97,0,1,100,100,100,100,100,100,-1,0,1,1,grassland,3,wildfire,7.35,81.4
40,0.444,0.776,0.512,0.288,0.176,0.1,4.1,4.1,0.1,0,4.1,4.1,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.38,81.71
10,0.394,0.784,0.712,0.552,0.236,0.124,3.92,3.92,0.1,0,3.92,3.92,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.42,81.16
10,0.355,0.776,0.704,0.592,0.228,0.124,3.36,3.36,0.1,0,3.36,3.36,0,1,100,100,100,100,100,100,-1,0,1,0,forest,3,wildfire,7.44,81.33
40,0.569,0.736,0.352,0.2,0.216,0.136,3.46,3.46,0.1,0,3.46,3.46,0,1,100,100,100,100,100,100,-1,0,1,3,crop,1,agricultural_burn,7.44,81.69
